categoria_operacional,total_corridas,receita_realizada,receita_perdida_estimada
Receita Realizada,93000,47260574.00,47260574.00
Perda por Motorista,27000,0,13720811.81
Perda por Cliente,10500,0,5335871.26
Perda Operacional,9000,0,4573603.94
Falha da Oferta,10500,0,5335871.26
